episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.114349573945766,11.181129639778218,0.9696657315718626
3,24,10.982695202382317,10.564337077457502,-0.8367162498496246,0.8367162498496246,0,10.978132857485637,11.819411452231941,11.819411452231941,2,0.0,0.0,0.0,0.8367162498496246,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,10.974439512687438,10.551953542915186,-0.8449719395445037,0.8449719395445037,0,10.978132857485637,11.819411452231941,11.819411452231941,2,0.0,0.0,0.0,0.8408440946970641,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.258424418531597,11.816118055734742,2.788468186015729,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,4,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,11.253762439150925,11.810523680477939,2.7838062066350577,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,4,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,10.950376192633005,10.373771538702089,-1.1532093078618226
7,56,10.949636022639153,9.831831719673971,-2.2356086059303593,2.2356086059303593,0,10.947861548040056,13.185244628569512,13.185244628569512,2,0.0,0.0,0.0,1.3057655984414958,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,10.954546981094916,9.839198157357618,-2.230697647474596,2.230697647474596,0,10.947861548040056,13.185244628569512,13.185244628569512,2,0.0,0.0,0.0,1.5369986106997708,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94388870443352,10.904869870440209,-0.0780376679866226,0.0780376679866226,0,10.951705623072638,11.021926372420143,11.021926372420143,2,0.0,0.0,0.0,1.2452064221571413,-3.7565033435821533,387.53549575805664,-261.06483459472656,0.04997001774609089,0.4013928510248661,-67.13247299194336,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.079351176967406,2,0.0,,,
10,80,10.94765854533415,10.910524631791155,-0.07426782708599333,0.07426782708599333,0,10.951705623072638,11.021926372420143,11.021926372420143,2,0.0,0.0,0.0,1.0500499896452833,-4.510407090187073,371.5553398132324,-261.2866516113281,0.04991007409989834,1.1573632061481476,-67.17161178588867,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.07054949292338344,2,1.0,5.178514542789991,2.007853715225797,-6.341321655128388
11,88,5.630176263145914,2.6812197925739865,-5.897912941143855,5.897912941143855,8,5.6410050820112305,11.528089204289769,11.528089204289769,4,0.0,0.0,0.0,1.965970980381285,-5.694103240966797,351.29898834228516,-261.64990234375,0.04987452691420913,2.338618040084839,-67.27096557617188,0.125,0.125,0.06474609375,0.147685546875,0.008095703125,5.5,0.875,5.900662581608345,2,0.0,,,
12,96,5.649696978894583,2.7105008661969907,-5.878392225395186,5.878392225395186,8,5.6410050820112305,11.528089204289769,11.528089204289769,4,0.0,0.0,0.0,2.9440762916347603,-6.743100166320801,296.49911880493164,-262.35369873046875,0.04984647035598755,3.37807834148407,-67.4925651550293,0.25,0.0,0.09130859375,0.16388671875,0.00892578125,5.5,0.875,5.882246903568169,2,1.0,8.016726419563316,6.050804445875035,-3.9318439473765636
13,104,4.675016084007027,1.256732530237045,-6.836567107539962,6.836567107539962,8,4.741783444929363,11.51158319154699,11.51158319154699,0,0.0,0.0,0.0,6.836567107539962,-8.733642339706421,254.82492446899414,-262.5963897705078,0.04981655441224575,5.367480754852295,-67.55596542358398,0.25,0.0,0.11787109374999999,0.15919921874999998,0.00861328125,5.5,0.875,6.818729247806443,2,0.0,,,
14,112,4.712520968262824,1.3129898566207416,-6.7990622232841655,6.7990622232841655,8,4.741783444929363,11.51158319154699,11.51158319154699,0,0.0,0.0,0.0,6.8178146654120635,-11.891143321990967,186.80860137939453,-261.4853210449219,0.049786657094955444,8.546317100524902,-67.16807556152344,0.25,0.125,0.14443359374999998,0.135380859375,0.007275390625,5.5,0.875,6.827439872039127,2,1.0,11.214142389397058,10.409097607185043,-1.610089564424034
15,120,11.301212373622052,10.759039789266694,-1.084345168710719,1.084345168710719,0,11.30359912680709,12.385557542332771,12.385557542332771,4,0.0,0.0,0.0,2.572130067049952,-15.885378360748291,107.77305221557617,-261.7758102416992,0.04973811283707619,12.540048599243164,-67.23871612548828,0.5,0.375,0.17099609375,0.0930908203125,0.004956054687499999,2.0,0.0,1.084141789754025,2,0.0,,,
16,128,11.302337954544713,10.760728160650682,-1.083219587788058,1.083219587788058,0,11.30359912680709,12.385557542332771,12.385557542332771,4,0.0,0.0,0.0,2.3239783205063027,-22.26961374282837,35.776867389678955,-261.5668716430664,0.049678439274430275,18.93348455429077,-67.13426208496094,0.5,0.125,0.19755859375,0.1268115234375,0.0067041015625,2.0,0.0,1.0794714452832395,2,1.0,11.2190081881967,10.74143913761267,-0.7896534158372095
17,136,11.136176009014447,10.072810830866963,-2.1267303562949635,2.1267303562949635,0,11.119222703368518,13.26290636530941,13.26290636530941,3,0.0,0.0,0.0,0.7089101187649879,-27.599760055541992,33.541419506073,-258.78204345703125,0.04961890447884798,24.31537961959839,-66.17215347290039,0.5,0.25,0.22412109375,0.1053369140625,0.005522460937499999,2.0,0.0,2.1287918525138902,2,0.0,,,
18,144,11.135765319563305,10.072194796690253,-2.1271410457461055,2.1271410457461055,0,11.119222703368518,13.26290636530941,13.26290636530941,3,0.0,0.0,0.0,1.0634678505102673,-28.95823049545288,31.4799063205719,-253.97232055664062,0.049559660255908966,25.75883913040161,-64.53689956665039,0.5,0.125,0.25068359375,0.11882812499999999,0.006171875,2.0,0.0,2.127762992257935,2,1.0,11.040623528603632,10.492373939710511,-0.9301941920132686
19,152,11.309579159341267,11.420611622657841,0.5551623165828605,0.0,0,11.300479510470948,10.754416842758406,10.754416842758406,4,0.0,0.0,0.0,1.991981417576831,-27.288314819335938,29.044355869293213,-246.63385772705078,0.04950090032070875,24.215280055999756,-62.06178283691406,0.5,0.5,0.27724609375,0.0651708984375,0.0033447265625,2.0,0.0,0.0,2,0.0,,,
20,160,11.313191863767168,11.424946867968918,0.5587750210087616,0.0,0,11.300479510470948,10.754416842758406,10.754416842758406,4,0.0,0.0,0.0,1.742983740379727,-26.551939964294434,29.05362057685852,-234.43326568603516,0.04944293759763241,23.68478012084961,-57.97188663482666,0.5,0.125,0.30380859374999997,0.11077148437499998,0.005634765625,2.0,0.0,0.0,2,1.0,7.663296706982757,5.387846685841996,-4.5509000422815244
21,168,10.791247642279586,9.593262164181679,-2.395970956195807,2.395970956195807,0,10.76194512950725,13.187218598475393,13.187218598475393,1,0.0,0.0,0.0,2.395970956195807,-27.13805389404297,23.408459901809692,-213.60871505737305,0.04938627313822508,24.617666244506836,-51.01863479614258,0.5,0.5,0.33037109375,0.0612158203125,0.0030810546875000002,2.0,0.0,2.396575400979229,1,0.0,,,
22,176,4.431577977222928,1.0267795158078075,-6.809596922830241,6.809596922830241,8,4.717650770311104,11.241174900053169,11.241174900053169,0,0.0,0.0,0.0,6.815075417884789,-27.013540267944336,19.12797474861145,-190.3674774169922,0.04934855364263058,24.87761116027832,-43.273590087890625,0.25,0.5,0.35693359375,0.0584326171875,0.0028955078125,5.5,0.875,6.81637771138092,1,0.0,11.007914985895578,10.033796689036564,-1.948236593718029
23,184,4.9862325457319985,1.7047630637338322,-6.562938963996335,6.562938963996335,8,4.734936256755692,11.549171509728334,11.549171509728334,0,1.0,0.7100619600982357,6.815075417884789,6.752041304412676,-25.823262214660645,27.45611810684204,-171.66148376464844,0.04932214878499508,23.995702743530273,-37.045942306518555,0.25,0.375,0.38349609375,0.07060546875,0.00345703125,5.5,0.875,6.561818037362794,1,0.0,,,
24,192,11.029974573290442,9.950631290699992,-2.158686565180897,2.158686565180897,0,10.987603367263542,13.188661138471339,13.188661138471339,2,0.0,0.0,0.0,1.208426643293228,-24.634604930877686,25.515371322631836,-131.69280242919922,0.04928192589432001,23.463674545288086,-23.75283193588257,0.5,0.375,0.41005859375,0.067236328125,0.003232421875,2.0,0.0,2.1578178642195485,1,0.0,4.9185853596543065,1.5727753384401493,-6.691620042428314
25,200,4.8846334477704945,1.447354771173828,-6.874557353193333,6.874557353193333,8,4.788984930802658,11.759190800963827,11.759190800963827,0,0.0,0.0,0.0,6.776544514168807,-25.478857040405273,23.10888409614563,-93.74663162231445,0.04925073776394129,24.93020248413086,-11.138181209564209,0.25,0.25,0.43662109374999997,0.0776513671875,0.0036767578124999997,5.5,0.875,6.896063238130649,1,0.0,,,
26,208,4.9802637702353945,1.7397856537523841,-6.480956232966019,6.480956232966019,8,4.7606637026943,11.461220003201413,11.461220003201413,0,1.0,0.6989530663560778,6.776544514168807,6.72727980063501,-23.670873641967773,23.36359977722168,-77.80038070678711,0.04923036601394415,23.383418083190918,-5.837966203689575,0.25,0.25,0.46318359375,0.07340332031249999,0.0033935546875,5.5,0.875,6.478691544378204,1,0.0,7.605218572585819,5.986412435926044,-2.734066350700199
27,216,10.970730044603705,10.457322162552037,-1.0268157641033397,1.0268157641033397,0,10.956917412088355,11.997545808707045,11.997545808707045,2,1.0,0.08882939781086546,1.208426643293228,1.185725283394492,-22.511358737945557,19.25586748123169,-52.09102725982666,0.04920164030045271,22.644378185272217,2.703431248664856,0.5,0.75,0.48974609375,0.0231005859375,0.0010400390625,2.0,0.0,1.0264187447782158,1,0.0,,,
28,224,4.808478993787636,1.5181575224054047,-6.580642942764461,6.580642942764461,8,4.8145088534176965,11.389121936552097,11.389121936552097,0,0.0,0.0,0.0,6.7063316780820745,-22.478729248046875,17.88611888885498,-34.90289306640625,0.04918080195784569,22.892518043518066,8.41263461112976,0.25,0.5,0.51630859375,0.04458984375,0.00197265625,5.5,0.875,6.594527253444938,1,0.0,10.77207880667165,9.747327920701412,-2.0495017719404762
29,232,10.814317175462364,9.972651899895954,-1.6833305511328245,1.6833305511328245,0,10.777945127512842,12.497647726595188,12.497647726595188,1,0.0,0.0,0.0,2.039650753664316,-23.548744678497314,18.505656838417053,-52.954665184020996,0.04916020389646292,23.66784143447876,2.4220439046621323,0.5,0.625,0.54287109375,0.031318359375,0.0013378906249999999,2.0,0.0,1.683792237211279,1,0.0,,,
30,240,10.731545599137501,9.524561683391715,-2.413967831491563,2.413967831491563,0,10.76570129567044,13.145513430629064,13.145513430629064,1,0.0,0.0,0.0,2.164423112940065,-23.690672874450684,17.404858827590942,-62.437649726867676,0.04913737811148167,23.655185222625732,-0.7224823832511902,0.5,0.625,0.5694335937499999,0.029780273437499998,0.0012353515625000001,2.0,0.0,2.415145791127059,1,0.0,8.32946014405507,6.463248871572812,-3.7324225449645136
31,248,10.954350939967519,10.298782401274892,-1.3111370773852542,1.3111370773852542,0,10.968504935888214,12.265488017352773,12.265488017352773,2,0.0,0.0,0.0,1.1996599271712434,-25.474149703979492,19.22400176525116,-86.68787956237793,0.0491150775924325,25.04353094100952,-8.766700267791748,0.5,0.5,0.59599609375,0.0373388671875,0.0014892578125,2.0,0.0,1.3134625248213612,1,0.0,,,
32,256,5.7584759403267185,2.70857523014688,-6.099801420359675,6.099801420359675,8,5.634897288173955,11.858277360686394,11.858277360686394,4,0.0,0.0,0.0,2.2270745937108325,-26.11795425415039,18.66649627685547,-102.69169616699219,0.049098867923021317,25.426902770996094,-14.073486328125,0.25,0.75,0.62255859375,0.0179736328125,0.0006982421875,5.5,0.875,6.099171471429813,1,0.0,7.553082746311109,6.0473570107832355,-2.3048431277735406
33,264,10.798671994813487,11.268820493672957,2.35074249429735,0.0,0,10.769440656216888,8.447929500516137,8.447929500516137,1,0.0,0.0,0.0,1.6233173347050487,-25.651092529296875,22.271292448043823,-115.55283737182617,0.04907756485044956,24.75109577178955,-18.335903882980347,0.5,0.75,0.64912109375,0.0168017578125,0.0006201171875000001,2.0,0.0,0.0,1,0.0,,,
34,272,4.293266399417694,0.8059384752999597,-6.974655848235469,6.974655848235469,8,4.670282589293046,11.267922247653162,11.267922247653162,0,0.0,0.0,0.0,6.739872199351249,-25.14720058441162,21.471373796463013,-128.11141967773438,0.0490578506141901,24.0434513092041,-22.496397018432617,0.25,0.75,0.67568359375,0.01482421875,0.0004882812500000002,5.5,0.875,6.971629190122991,1,0.0,10.863502830941393,10.925637097184612,0.9230156234123479
35,280,10.915424149163114,11.449824647134513,2.6720024898570056,0.0,0,10.936384706223103,8.243421659306108,8.243421659306108,2,0.0,0.0,0.0,1.079693934454119,-25.561994075775146,24.04524850845337,-134.37533950805664,0.049031857401132584,24.357226371765137,-24.567147254943848,0.5,0.625,0.7022460937499999,0.020991210937499998,0.0006494140625,2.0,0.0,0.0,1,0.0,,,
36,288,10.843753669358705,10.446854126162068,-0.7937990863932782,0.7937990863932782,0,10.908448551650762,11.637552755751983,11.637552755751983,2,0.0,0.0,0.0,1.0537034937213152,-26.10838556289673,24.693990230560303,-143.58091354370117,0.04899674002081156,24.755390644073486,-27.609192848205566,0.5,0.75,0.72880859375,0.012919921875,0.0003613281249999999,2.0,0.0,0.7951054299297431,1,0.0,10.993441140301826,10.321551047994834,-1.3437801846139834
37,296,11.080698274437069,10.949256403735092,-0.2628837414039573,0.2628837414039573,0,11.085400315259168,11.343582015841026,11.343582015841026,3,0.0,0.0,0.0,0.9033510286890053,-26.412173748016357,22.47740864753723,-150.44326782226562,0.048958019353449345,24.949403285980225,-29.871986389160156,0.5,0.875,0.75537109375,0.006020507812499999,0.00015136718750000003,2.0,0.0,0.2669548240821854,1,0.0,,,
38,304,10.902225288358768,9.687907615542857,-2.428635345631827,2.428635345631827,0,10.940959214116678,13.330860633990595,13.330860633990595,2,0.0,0.0,0.0,1.168281148047191,-26.61286973953247,22.40179181098938,-155.11497497558594,0.048916338942945004,25.076258659362793,-31.406342029571533,0.5,1.0,0.78193359375,0.0,0.0,2.0,0.0,2.427143688936996,1,0.0,8.314387359411793,7.200877028304085,-1.2997746286018015
39,312,11.000881971632664,11.619797855213926,3.0945794179063153,0.0,0,10.964432401415895,7.9063025537263485,7.9063025537263485,2,0.0,0.0,0.0,1.0784133674281764,-28.046651363372803,23.998584508895874,-166.52540588378906,0.04887190740555525,26.3273663520813,-35.171475410461426,0.5,0.75,0.80849609375,0.009477539062499998,0.0001318359375,2.0,0.0,0.0,1,0.0,,,
40,320,5.592654633707456,2.7279712394107625,-5.729366788593385,5.729366788593385,8,5.644931120308829,11.32202142230084,11.32202142230084,4,0.0,0.0,0.0,2.5773038131990877,-28.259244918823242,23.421379327774048,-167.49529266357422,0.04883978981524706,26.526089668273926,-35.479928970336914,0.25,0.875,0.8350585937499999,0.0040429687500000006,1.9531250000000017e-05,5.5,0.875,5.727075965677715,1,0.0,10.945056860072665,11.157712549789757,1.4685993219624272
41,328,5.70660090996777,2.6033530785679324,-6.206495662799675,6.206495662799675,8,5.636726654167215,11.913096572767445,11.913096572767445,4,1.0,0.1858945917013896,2.5773038131990877,2.907230344980959,-27.44853973388672,22.6976478099823,-162.5674591064453,0.0488157644867897,25.796350479125977,-33.838951110839844,0.25,0.875,0.85,0.00375,0.0,5.5,0.875,6.210550668260485,1,0.0,,,
42,336,11.025740548529384,11.605890822089362,2.9007513677998826,0.0,0,10.995272624240755,8.124989180729502,8.124989180729502,2,0.0,0.0,0.0,1.0013838411833067,-28.023891925811768,23.852925300598145,-163.06544494628906,0.04877610318362713,26.365554809570312,-33.99045658111572,0.5,1.0,0.85,0.0,0.0,2.0,0.0,0.0,1,0.0,11.10453585046366,10.757127504594756,-0.055904303049099546
43,344,11.213875600150846,11.640208197196728,2.1316629852294167,0.0,0,11.114986653314814,9.08221261492143,9.08221261492143,3,0.0,0.0,0.0,0.7527925239075044,-28.397510528564453,25.99910807609558,-161.4564552307129,0.04872652143239975,26.767693519592285,-33.439791679382324,0.5,1.0,0.85,0.0,0.0,2.0,0.0,0.0,1,0.0,,,
44,352,5.242811970622058,1.97198899044656,-6.541645960350997,6.541645960350997,8,4.771911267834785,11.784457930973055,11.784457930973055,0,1.0,0.581640066131792,6.739872199351249,6.717847061684555,-27.804829597473145,26.548900365829468,-159.4386444091797,0.04869213607162237,26.209440231323242,-32.75852966308594,0.25,0.75,0.85,0.0075,0.0,5.5,0.875,6.539643745003317,1,0.0,4.856717124928858,1.6543384152380995,-6.404757419381514
45,360,11.181900697045807,10.369295236026012,-1.6252109220395905,1.6252109220395905,0,11.155247223034015,12.807111619085397,12.807111619085397,4,1.0,0.21253919601508572,2.907230344980959,2.8003953930691785,-28.17143154144287,27.59974217414856,-163.37284469604492,0.048651205375790596,26.514602661132812,-34.04648685455322,0.5,0.5,0.85,0.015,0.0,2.0,0.0,1.6261762001683646,1,0.0,,,
46,368,5.521390452094007,2.681408159466756,-5.679964585254503,5.679964585254503,8,5.6415086126642775,11.20135503734851,11.20135503734851,4,0.0,0.0,0.0,3.0219007155449726,-28.373366355895996,27.291837215423584,-160.59695434570312,0.04861630406230688,26.763147354125977,-33.11448287963867,0.25,1.0,0.85,0.0,0.0,5.5,0.875,5.678598851940507,1,0.0,10.912874165873866,11.525712046381699,3.064189402539151
47,376,10.991235993399343,11.602812718578743,3.0578836258970012,0.0,0,10.941203465371764,7.933352367502342,7.933352367502342,2,0.0,0.0,0.0,0.934624918437753,-29.033663272857666,27.164988040924072,-161.64701080322266,0.048574911430478096,27.408508777618408,-33.44788646697998,0.5,0.875,0.85,0.00375,0.0,2.0,0.0,0.0,1,0.0,,,
48,384,10.829693998331742,11.442829366164673,3.0656768391646514,0.0,0,10.793216161814952,7.76401715916709,7.76401715916709,1,0.0,0.0,0.0,1.298653867764039,-29.321118354797363,27.444698810577393,-163.92031860351562,0.04852370545268059,27.662109851837158,-34.18067169189453,0.5,1.0,0.85,0.0,0.0,2.0,0.0,0.0,1,0.0,5.018823702162175,1.7516895579521476,-6.534268288420055
